render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
0,0,visual_0000,0.0,0,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0000.facets,2cb1afa4dfa406243dd750e7754af76ef7c1a25e93a1cfe48e5a85e4d9dc9cf5,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0000.png
1,1,visual_0001,0.005,36,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0001.facets,273cf8de6ad8bc0d3a2c8bb641027e531eacfd667f34efd862806530bc05be47,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0001.png
2,2,visual_0002,0.01,62,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0002.facets,c8df6a29df2c2a99d29dd30faf22208a626d3438f0b066237a3a75f09abaae80,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0002.png
3,3,visual_0003,0.015,88,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0003.facets,7bdca2854e947ac028bc1a4b35749f67c98421f3e53a234256deed342c7fb8e1,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0003.png
4,4,visual_0004,0.02,114,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0004.facets,23c8681aaafc612811d0f6854b6e9aed58d5dc0e65eea759e47dc9cb8bda2a12,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0004.png
5,5,visual_0005,0.025,140,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0005.facets,06718bb1b2a5ce3a24470340b4ae8b503595fe1284a3ebb41418eda398ab5f32,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0005.png
6,6,visual_0006,0.03,166,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0006.facets,9d499594d171b6decf76ca2993cf1378a1eb2bb7cffab73324882a43b8c0ec94,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0006.png
7,7,visual_0007,0.035,192,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0007.facets,d15068f4b7f85df8f2fccb2d5cc5d8c6b86f4f5352dfe4636dc3a8ea03115164,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0007.png
8,8,visual_0008,0.04,218,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0008.facets,8ab4a748d29e6a3bcc4d39b972d11cd31c61e285902a2f87418cc57da276ce59,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0008.png
9,9,visual_0009,0.045,244,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0009.facets,55971cb3c18023ddef591081f1278e704432aee3badeb4a55f1985893712b46c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0009.png
