time,station_kind,station_target,fixed_gate_limit_xi,l7_available,l8_available,paired,primary_gate_eligible,coverage_note
0.03,fixed,0.1,0.12949218750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,0.2,0.12949218750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,0.3,0.12949218750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,0.4,0.12949218750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,0.5,0.12949218750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,0.75,0.12949218750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.03,fixed,1.0,0.12949218750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.03,front_relative,0.25,0.12949218750045777,False,False,False,False,front_relative_station_missing_in_one_level
0.03,front_relative,0.5,0.12949218750045777,True,False,False,False,front_relative_station_missing_in_one_level
0.03,front_relative,0.75,0.12949218750045777,False,False,False,False,front_relative_station_missing_in_one_level
0.03,front_relative,0.9,0.12949218750045777,True,False,False,False,front_relative_station_missing_in_one_level
0.06,fixed,0.1,0.24902343750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,0.2,0.24902343750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,0.3,0.24902343750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,0.4,0.24902343750045777,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,0.5,0.24902343750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,0.75,0.24902343750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.06,fixed,1.0,0.24902343750045777,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.06,front_relative,0.25,0.24902343750045777,False,True,False,False,front_relative_station_missing_in_one_level
0.06,front_relative,0.5,0.24902343750045777,True,True,True,True,paired_front_relative
0.06,front_relative,0.75,0.24902343750045777,False,True,False,False,front_relative_station_missing_in_one_level
0.06,front_relative,0.9,0.24902343750045777,True,True,True,True,paired_front_relative
0.09,fixed,0.1,0.3685546875010682,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,0.2,0.3685546875010682,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,0.3,0.3685546875010682,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,0.4,0.3685546875010682,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,0.5,0.3685546875010682,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,0.75,0.3685546875010682,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.09,fixed,1.0,0.3685546875010682,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.09,front_relative,0.25,0.3685546875010682,False,True,False,False,front_relative_station_missing_in_one_level
0.09,front_relative,0.5,0.3685546875010682,True,True,True,True,paired_front_relative
0.09,front_relative,0.75,0.3685546875010682,False,True,False,False,front_relative_station_missing_in_one_level
0.09,front_relative,0.9,0.3685546875010682,True,True,True,True,paired_front_relative
0.12,fixed,0.1,0.48808593750106816,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,0.2,0.48808593750106816,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,0.3,0.48808593750106816,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,0.4,0.48808593750106816,False,True,False,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,0.5,0.48808593750106816,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,0.75,0.48808593750106816,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.12,fixed,1.0,0.48808593750106816,True,True,True,False,missing_source_or_beyond_0.85_min_front
0.12,front_relative,0.25,0.48808593750106816,False,True,False,False,front_relative_station_missing_in_one_level
0.12,front_relative,0.5,0.48808593750106816,True,True,True,True,paired_front_relative
0.12,front_relative,0.75,0.48808593750106816,False,True,False,False,front_relative_station_missing_in_one_level
0.12,front_relative,0.9,0.48808593750106816,True,True,True,True,paired_front_relative
