time,station_kind,station_target,l7_station_id,l8_station_id,l7_xi,l8_xi,fixed_gate_limit_xi,primary_gate_eligible,valid_station_time_pair,l7_Ahat,l8_Ahat,Ahat_abs_diff,Ahat_rel_diff,Ahat_signed_diff_l8_minus_l7,l7_width,l8_width,width_rel_diff,l7_thickness,l8_thickness,thickness_rel_diff,l7_aspect_ratio,l8_aspect_ratio,aspect_rel_diff,centroid_separation_Dh,l7_warp_proxy,l8_warp_proxy,warp_abs_diff,station_slab_half_Dh,station_xi_uncertainty_Dh,l7_quality_flag,l8_quality_flag,ahat_pair_p90_pass,width_pair_p90_pass,thickness_pair_p90_pass,aspect_pair_p90_pass,centroid_pair_pass,warp_pair_pass,pair_all_applicable_pass
0.03,fixed,0.5,1,4,0.5,0.5,0.12949218750045777,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.03,fixed,0.75,2,5,0.75,0.75,0.12949218750045777,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.03,fixed,1.0,3,6,1.0,1.0,0.12949218750045777,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.06,fixed,0.5,1,4,0.5,0.5,0.24902343750045777,False,False,0.1416944294307132,0.0,0.1416944294307132,1.0,-0.1416944294307132,0.215413367352,0.0,1.0,0.0979151669778,0.0,1.0,2.2000000000085786,0.0,1.0,2.6828500720997584e-07,0.6734719451358689,0.0,0.6734719451358689,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,False,False
0.06,fixed,0.75,2,5,0.75,0.75,0.24902343750045777,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.06,fixed,1.0,3,6,1.0,1.0,0.24902343750045777,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.06,front_relative,0.5,90,91,0.19921875,0.146484375,0.24902343750045777,True,True,0.8172946653168297,0.9156591947899317,0.09836452947310204,0.12035381319290805,0.09836452947310204,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,5.452740254885977e-07,0.6071653217601025,0.5742058500655803,0.03295947169452218,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,True,True,True,True,True
0.06,front_relative,0.9,91,93,0.35859375,0.263671875,0.24902343750045777,True,True,0.5146541655794499,0.4439971773216958,0.07065698825775407,0.13729022901855126,-0.07065698825775407,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,6.67910536732833e-07,0.6480896278503154,0.5609047229802616,0.08718490487005381,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,True,True,True,True,True
0.09,fixed,0.5,1,4,0.5,0.5,0.3685546875010682,False,False,0.6357380086584183,0.18916873525248798,0.44656927340593033,0.7024423069313003,-0.44656927340593033,0.215413367352,0.1860388172578,0.13636363636709697,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.7272727272722208,0.21487603306114295,3.3608612870030214e-07,0.6340430288688749,0.4769688922983661,0.15707413657050878,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,False,True,False,False
0.09,fixed,0.75,2,5,0.75,0.75,0.3685546875010682,False,False,0.0016153523014386776,0.0,0.0016153523014386776,1.0,-0.0016153523014386776,0.0979151669778,0.0,1.0,0.0587491001866,0.0,1.0,1.6666666666689363,0.0,1.0,2.7058265303700804e-06,0.25860581541346467,0.0,0.25860581541346467,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,False,False
0.09,fixed,1.0,3,6,1.0,1.0,0.3685546875010682,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
