route_id,case_id,frame_index,time,iteration,maxlevel,delta_min,vertex_count,facet_count,xmin,xmax,ymin,ymax,zmin,zmax,downstream_clearance,upstream_clearance,y_min_clearance,y_max_clearance,z_min_clearance,z_max_clearance,active_front,active_front_over_L0,interface_proxy,credible_component_count,detached_proxy_count,vertex_frac_within_2_delta_min_x_min,facet_frac_within_2_delta_min_x_min,vertex_frac_within_2_delta_min_x_max,facet_frac_within_2_delta_min_x_max,vertex_frac_within_2_delta_min_y_min,facet_frac_within_2_delta_min_y_min,vertex_frac_within_2_delta_min_y_max,facet_frac_within_2_delta_min_y_max,vertex_frac_within_2_delta_min_z_min,facet_frac_within_2_delta_min_z_min,vertex_frac_within_2_delta_min_z_max,facet_frac_within_2_delta_min_z_max,vertex_frac_within_4_delta_min_x_min,facet_frac_within_4_delta_min_x_min,vertex_frac_within_4_delta_min_x_max,facet_frac_within_4_delta_min_x_max,vertex_frac_within_4_delta_min_y_min,facet_frac_within_4_delta_min_y_min,vertex_frac_within_4_delta_min_y_max,facet_frac_within_4_delta_min_y_max,vertex_frac_within_4_delta_min_z_min,facet_frac_within_4_delta_min_z_min,vertex_frac_within_4_delta_min_z_max,facet_frac_within_4_delta_min_z_max,vertex_frac_within_0p05_domain_length_x_min,facet_frac_within_0p05_domain_length_x_min,vertex_frac_within_0p05_domain_length_x_max,facet_frac_within_0p05_domain_length_x_max,vertex_frac_within_0p05_domain_length_y_min,facet_frac_within_0p05_domain_length_y_min,vertex_frac_within_0p05_domain_length_y_max,facet_frac_within_0p05_domain_length_y_max,vertex_frac_within_0p05_domain_length_z_min,facet_frac_within_0p05_domain_length_z_min,vertex_frac_within_0p05_domain_length_z_max,facet_frac_within_0p05_domain_length_z_max,meaningful_downstream_or_lateral_boundary_contact,contact_boundaries,hero_complexity_score
official_round_control,C0_long_official_round_control,0,0.0,0,8,0.01171875,544,132,0.0,0.0234375,-0.0846676,0.0846676,-0.0846676,0.0846676,2.9765625,0.0,1.4153324,1.4153324,1.4153324,1.4153324,0.005859375,0.005859375,0.0018310546875,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0039630546875
official_round_control,C0_long_official_round_control,1,0.02,10,8,0.01171875,1740,432,0.0,0.0445908,-0.0888367,0.088835,-0.0884597,0.0884582,2.9554092,0.0,1.4111633,1.411165,1.4115403,1.4115418,0.013671875,0.013671875,0.0059814453125,1,0,0.4367816091954023,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0084134453125
official_round_control,C0_long_official_round_control,2,0.04,16,8,0.01171875,2477,624,0.0,0.0609397,-0.0924641,0.0924597,-0.0917489,0.0917454,2.9390603,0.0,1.4075359,1.4075403,1.4082511,1.4082546,0.021484375,0.021484375,0.0081787109375,1,0,0.31207105369398463,0.3782051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607589826402907,0.6089743589743589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0108027109375
official_round_control,C0_long_official_round_control,3,0.06,21,8,0.01171875,2858,710,0.0,0.079119,-0.095744,0.09573,-0.094888,0.0948887,2.920881,0.0,1.404256,1.40427,1.405112,1.4051113,0.025390625,0.025390625,0.0101928710938,1,0,0.21833449965010496,0.2591549295774648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5223932820153954,0.5802816901408451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0129028710938
official_round_control,C0_long_official_round_control,4,0.08,26,8,0.01171875,3520,876,0.0,0.0967879,-0.099542,0.0995213,-0.0982042,0.0981798,2.9032121,0.0,1.400458,1.4004787,1.4017958,1.4018202,0.033203125,0.033203125,0.0120849609375,1,0,0.15795454545454546,0.1917808219178082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34545454545454546,0.3926940639269406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0149609609375
official_round_control,C0_long_official_round_control,5,0.1,31,8,0.01171875,4106,1028,0.0,0.113999,-0.103277,0.103266,-0.100813,0.100785,2.886001,0.0,1.396723,1.396734,1.399187,1.399215,0.037109375,0.037109375,0.0140991210938,1,0,0.14637116415002435,0.17120622568093385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2681441792498782,0.2918287937743191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0171271210938
official_round_control,C0_long_official_round_control,6,0.12,35,8,0.01171875,4683,1182,0.0,0.131368,-0.105937,0.105933,-0.104172,0.104132,2.868632,0.0,1.394063,1.394067,1.395828,1.395868,0.044921875,0.044921875,0.0160980224609,1,0,0.11787315823190263,0.13874788494077833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22378816997651077,0.24873096446700507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.019280022460899996
official_round_control,C0_long_official_round_control,7,0.14,40,8,0.01171875,5679,1448,0.0,0.148488,-0.106333,0.10631,-0.106076,0.106051,2.851512,0.0,1.393667,1.39369,1.393924,1.393949,0.048828125,0.048828125,0.0194091796875,1,0,0.11692199330868111,0.13535911602209943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2141222046134883,0.2265193370165746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.022857179687500003
official_round_control,C0_long_official_round_control,8,0.16,46,8,0.01171875,6556,1657,0.0,0.165601,-0.107335,0.107318,-0.106506,0.106465,2.834399,0.0,1.392665,1.392682,1.393494,1.393535,0.056640625,0.056640625,0.022705078125,1,0,0.10097620500305064,0.11828605914302957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19585112873703478,0.2148461074230537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934716290420989,0.8105009052504526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.026362078125
official_round_control,C0_long_official_round_control,9,0.18,52,8,0.01171875,7474,1875,0.0,0.182472,-0.10875,0.108756,-0.107304,0.107287,2.817528,0.0,1.39125,1.391244,1.392696,1.392713,0.060546875,0.060546875,0.0255279541016,1,0,0.07385603425207386,0.08746666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1535991436981536,0.17066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764784586566764,0.7013333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0294029541016
official_round_control,C0_long_official_round_control,10,0.2,58,8,0.01171875,7770,1941,0.0,0.19943,-0.110757,0.110731,-0.109116,0.109091,2.80057,0.0,1.389243,1.389269,1.390884,1.390909,0.068359375,0.068359375,0.0282897949219,1,0,0.08133848133848134,0.09685729005667182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14414414414414414,0.160741885625966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180180180180181,0.5615662029881504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0322307949219
official_round_control,C0_long_official_round_control,11,0.22,65,8,0.01171875,8735,2186,0.0,0.216419,-0.114261,0.114108,-0.113052,0.113049,2.783581,0.0,1.385739,1.385892,1.386948,1.386951,0.07421875,0.07421875,0.0318756103516,1,0,0.06868918145392101,0.08234217749313816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12318259874069834,0.1354071363220494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3822552947910704,0.40164684354986274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0360616103516
