render_frame,fluid_occupancy,fluid_pixel_count,bbox_norm,projected_bounds,bbox_intersects_central_80_percent,occupancy_between_5_and_70_percent,visibility_frame_passed,raycast_hit_object,wall_or_floor_first_hit,wall_or_floor_first_hit_count,fluid_first_hit_count,low_visibility_below_10_percent
0,0.09706597222222223,5591,"[0.2, 0.62813, 0.07778, 0.75556]","[0.0485, 0.7169, -0.295, 0.8179]",True,True,True,vof_surface_final_complex_static,False,0,40,True
1,0.09847222222222222,5672,"[0.20625, 0.62813, 0.08333, 0.75556]","[0.0478, 0.7162, -0.3025, 0.8206]",True,True,True,vof_surface_final_complex_static,False,0,43,True
2,0.10092013888888889,5813,"[0.2125, 0.62813, 0.07222, 0.76111]","[0.0473, 0.7154, -0.3098, 0.8234]",True,True,True,,False,0,36,False
3,0.10170138888888888,5858,"[0.21563, 0.625, 0.07222, 0.75556]","[0.047, 0.7146, -0.317, 0.8261]",True,True,True,,False,0,33,False
4,0.10321180555555555,5945,"[0.22187, 0.625, 0.06667, 0.76111]","[0.047, 0.7137, -0.324, 0.8289]",True,True,True,vof_surface_final_complex_static,False,0,34,False
5,0.10385416666666666,5982,"[0.22812, 0.625, 0.06111, 0.76111]","[0.0471, 0.7127, -0.3309, 0.8317]",True,True,True,vof_surface_final_complex_static,False,0,38,False
6,0.10449652777777778,6019,"[0.23125, 0.625, 0.06111, 0.76111]","[0.0475, 0.7116, -0.3375, 0.8346]",True,True,True,vof_surface_final_complex_static,False,0,35,False
7,0.10548611111111111,6076,"[0.23125, 0.625, 0.05556, 0.76111]","[0.0481, 0.7104, -0.3439, 0.8374]",True,True,True,vof_surface_final_complex_static,False,0,35,False
8,0.10510416666666667,6054,"[0.23125, 0.625, 0.05, 0.76111]","[0.049, 0.7092, -0.35, 0.8403]",True,True,True,vof_surface_final_complex_static,False,0,40,False
9,0.10578125,6093,"[0.23125, 0.62187, 0.05, 0.76111]","[0.0502, 0.7079, -0.3558, 0.8431]",True,True,True,vof_surface_final_complex_static,False,0,37,False
10,0.10616319444444444,6115,"[0.23125, 0.625, 0.04444, 0.76111]","[0.0517, 0.7065, -0.3614, 0.846]",True,True,True,vof_surface_final_complex_static,False,0,41,False
