render_frame,round_surface_index,round_source_frame_id,round_time,rectangular_surface_index,rectangular_source_frame_id,rectangular_time,time_pair_exact
0,0,visual_0000,0.0,0,visual_0000,0.0,true
1,1,visual_0001,0.02,1,visual_0001,0.02,true
2,2,visual_0002,0.04,2,visual_0002,0.04,true
3,3,visual_0003,0.06,3,visual_0003,0.06,true
4,4,visual_0004,0.08,4,visual_0004,0.08,true
5,5,visual_0005,0.1,5,visual_0005,0.1,true
6,6,visual_0006,0.12,6,visual_0006,0.12,true
7,7,visual_0007,0.14,7,visual_0007,0.14,true
8,8,visual_0008,0.16,8,visual_0008,0.16,true
9,9,visual_0009,0.18,9,visual_0009,0.18,true
10,10,visual_0010,0.2,10,visual_0010,0.2,true
11,11,visual_0011,0.22,11,visual_0011,0.22,true
12,12,visual_0012,0.24,12,visual_0012,0.24,true
13,13,visual_0013,0.26,13,visual_0013,0.26,true
14,14,visual_0014,0.28,14,visual_0014,0.28,true
15,15,visual_0015,0.3,15,visual_0015,0.3,true
16,16,visual_0016,0.32,16,visual_0016,0.32,true
17,17,visual_0017,0.34,17,visual_0017,0.34,true
18,18,visual_0018,0.36,18,visual_0018,0.36,true
19,19,visual_0019,0.38,19,visual_0019,0.38,true
20,20,visual_0020,0.4,20,visual_0020,0.4,true
21,21,visual_0021,0.42,21,visual_0021,0.42,true
22,22,visual_0022,0.44,22,visual_0022,0.44,true
23,23,visual_0023,0.46,23,visual_0023,0.46,true
24,24,visual_0024,0.48,24,visual_0024,0.48,true
25,25,visual_0025,0.5,25,visual_0025,0.5,true
26,26,visual_0026,0.52,26,visual_0026,0.52,true
27,27,visual_0027,0.54,27,visual_0027,0.54,true
28,28,visual_0028,0.56,28,visual_0028,0.56,true
29,29,visual_0029,0.58,29,visual_0029,0.58,true
30,30,visual_0030,0.6,30,visual_0030,0.6,true
31,31,visual_0031,0.62,31,visual_0031,0.62,true
32,32,visual_0032,0.64,32,visual_0032,0.64,true
33,33,visual_0033,0.66,33,visual_0033,0.66,true
34,34,visual_0034,0.68,34,visual_0034,0.68,true
35,35,visual_0035,0.7,35,visual_0035,0.7,true
36,36,visual_0036,0.72,36,visual_0036,0.72,true
37,37,visual_0037,0.74,37,visual_0037,0.74,true
38,38,visual_0038,0.76,38,visual_0038,0.76,true
39,39,visual_0039,0.78,39,visual_0039,0.78,true
40,40,visual_0040,0.8,40,visual_0040,0.8,true
41,41,visual_0041,0.82,41,visual_0041,0.82,true
42,42,visual_0042,0.84,42,visual_0042,0.84,true
43,43,visual_0043,0.86,43,visual_0043,0.86,true
44,44,visual_0044,0.88,44,visual_0044,0.88,true
45,45,visual_0045,0.9,45,visual_0045,0.9,true
46,46,visual_0046,0.92,46,visual_0046,0.92,true
47,47,visual_0047,0.94,47,visual_0047,0.94,true
48,48,visual_0048,0.96,48,visual_0048,0.96,true
49,49,visual_0049,0.98,49,visual_0049,0.98,true
50,50,visual_0050,1.0,50,visual_0050,1.0,true
